playerFirstName,playerLastName,playerId,age,seasonId,shoots,playerPositionCode,playerTeamsPlayedFor,gamesPlayed,goals,assists,shots,plusMinus,penaltyMinutes,timeOnIcePerGame,shiftsPerGame,
Mike,Ribeiro,8467371,36.3397260274,20152016,L,C,NSH,81,8.5292973752,52.3942553048,76,11,62,1046.9753,21.2962,
John,Mitchell,8470750,31.3863013699,20152016,L,C,COL,71,12.184710536,13.4031815896,101,-7,52,914.7464,20.6901,
Brett,Lernout,8478004,20.7095890411,20152016,R,D,MTL,1,0.0,0.0,0,0,0,390.0,8.0,
Brian,Dumoulin,8475208,24.7616438356,20152016,L,D,PIT,79,0.0,19.4955368576,101,11,14,1133.1392,26.886,
Brent,Burns,8470613,31.2602739726,20152016,R,D,SJS,82,32.8987184472,58.4866105728,353,-5,53,1551.8414,27.4634,
Rick,Nash,8470041,31.9890410959,20152016,L,L,NYR,60,18.277065804,25.5878921256,183,8,30,1016.3666,25.3,
Victor,Bartley,8473658,28.3150684932,20152016,L,D,NSH|MTL,10,0.0,0.0,8,2,6,799.1,17.3,
Eric,Gryba,8473468,28.1589041096,20152016,R,D,EDM,53,1.2184710536,6.092355268,58,0,75,1072.9433,23.7547,
Daniel,Catenacci,8476401,23.2547945205,20152016,L,C,BUF,11,0.0,0.0,7,-2,0,524.3636,11.8181,
Darren,Dietz,8476379,22.898630137,20152016,R,D,MTL,13,1.2184710536,4.8738842144,13,-1,13,872.2307,18.4615,
Bracken,Kearns,8471996,35.0876712329,20152016,L,C,NYI,2,0.0,1.2184710536,0,1,4,953.5,20.5,
Shane,Doan,8462038,39.6767123288,20152016,R,R,ARI,72,34.1171895008,23.1509500184,170,4,98,1055.7083,22.0833,
Jason,Demers,8474218,28.0054794521,20152016,R,D,DAL,62,8.5292973752,19.4955368576,94,16,72,1252.0806,28.0806,
Stanislav,Galiev,8475816,24.397260274,20152016,R,R,WSH,24,0.0,3.6554131608,30,2,4,547.2083,11.875,
Colin,McDonald,8470644,31.698630137,20152016,R,R,PHI,5,1.2184710536,0.0,4,0,7,488.6,12.0,
Trevor,Lewis,8473453,29.4246575342,20152016,R,C,LAK,75,9.7477684288,9.7477684288,167,-10,20,873.5866,20.4133,
Mike,Sislo,8476209,28.3917808219,20152016,R,R,NJD,18,3.6554131608,1.2184710536,29,-2,4,745.5,16.6666,
Corban,Knight,8475260,25.7506849315,20152016,R,C,FLA,20,2.4369421072,6.092355268,11,3,4,577.9,13.2,
David,Rundblad,8475182,25.6739726027,20152016,R,D,CHI,9,0.0,2.4369421072,13,-2,6,862.3333,19.5555,
Scott,Hartnell,8468486,34.1534246575,20152016,L,L,CBJ,79,28.0248342328,31.6802473936,150,-11,112,935.0,20.5569,
Brian,O'Neill,8476772,28.0273972603,20152016,L,R,NJD,22,0.0,2.4369421072,14,-3,8,621.6818,15.3181,
Landon,Ferraro,8475157,24.8410958904,20152016,R,C,DET|BOS,68,6.092355268,6.092355268,77,-11,27,636.6764,15.4411,
Tomas,Plekanec,8469521,33.6164383562,20152016,L,C,MTL,82,17.0585947504,48.738842144,189,4,36,1111.9268,26.7926,
Ryan,Hartman,8477451,21.7205479452,20152016,R,R,CHI,3,0.0,1.2184710536,3,-1,0,554.3333,14.3333,
Michael,Frolik,8473564,28.3150684932,20152016,L,R,CGY,64,18.277065804,20.7140079112,155,1,24,948.5312,23.2031,
Nikolaj,Ehlers,8477940,20.3178082192,20152016,L,R,WPG,72,18.277065804,28.0248342328,167,3,21,966.0555,21.2638,
Marcus,Johansson,8475149,25.6794520548,20152016,L,L,WSH,74,20.7140079112,35.3356605544,132,12,16,998.3783,19.7297,
Stefan,Elliott,8475206,25.3616438356,20152016,R,D,ARI|NSH,21,2.4369421072,4.8738842144,37,-3,4,850.0,20.1428,
Jarret,Stoll,8468526,33.9698630137,20152016,R,C,NYR|MIN,80,4.8738842144,6.092355268,49,-1,36,730.625,18.6875,
Andrew,Cogliano,8471699,28.9945205479,20152016,L,L,ANA,82,10.9662394824,28.0248342328,131,2,28,865.9024,22.1707,
Craig,Smith,8475225,26.7643835616,20152016,R,R,NSH,82,25.5878921256,19.4955368576,199,4,40,911.0853,20.7804,
Brandon,Gormley,8475759,24.3095890411,20152016,L,D,COL,26,0.0,1.2184710536,11,-3,8,730.5384,18.6538,
Matt,Hunwick,8471436,31.0602739726,20152016,L,D,TOR,60,2.4369421072,9.7477684288,74,-17,32,1353.8166,30.1333,
Eric,Boulton,8460720,39.8246575342,20152016,L,L,NYI,6,0.0,0.0,3,-3,2,569.1666,14.6666,
Alex,Grant,8474005,27.3890410959,20152016,R,D,ARI,5,0.0,0.0,4,-2,7,794.0,19.0,
Brody,Sutter,8475980,24.7068493151,20152016,R,C,CAR,8,0.0,0.0,7,-4,0,538.0,13.125,
Mikkel,Boedker,8474571,26.4849315068,20152016,L,L,ARI|COL,80,20.7140079112,41.4280158224,166,-33,12,1111.7625,22.35,
Tommy,Cross,8474019,26.7452054795,20152016,L,D,BOS,3,0.0,1.2184710536,0,-1,0,785.3333,17.6666,
Brandon,Prust,8471283,32.2410958904,20152016,L,L,VAN,35,1.2184710536,7.3108263216,19,-3,59,767.0571,17.7428,
Jordin,Tootoo,8469547,33.3589041096,20152016,R,R,NJD,66,4.8738842144,6.092355268,90,-26,102,691.6666,15.606,
Brock,Nelson,8475754,24.6547945205,20152016,L,L,NYI,81,31.6802473936,17.0585947504,165,-3,30,948.1975,20.6913,
Jordan,Schroeder,8475147,25.698630137,20152016,R,C,MIN,26,2.4369421072,2.4369421072,30,2,2,564.9615,13.7307,
Brett,Connolly,8475792,24.1068493151,20152016,R,R,BOS,71,10.9662394824,19.4955368576,95,-1,20,777.6619,18.7042,
Kevin,Klein,8470630,31.495890411,20152016,R,D,NYR,69,10.9662394824,20.7140079112,69,16,19,1223.0724,28.5362,
